"Libellé";"Nombre de créations d'entreprises - Hébergement et restauration - Ensemble - France - Données mensuelles CVS";"Codes"
"idBank";"001564308";""
"Dernière mise à jour";"17/11/2021 08:45";""
"Période";"";""
"2021-10";"3241";"A"
"2021-09";"3019";"A"
"2021-08";"3006";"A"
"2021-07";"3081";"A"
"2021-06";"3184";"A"
"2021-05";"2778";"A"
"2021-04";"2477";"A"
"2021-03";"3749";"A"
"2021-02";"4943";"A"
"2021-01";"4616";"A"
"2020-12";"4569";"A"
"2020-11";"4661";"A"
"2020-10";"4418";"A"
"2020-09";"4289";"A"
"2020-08";"4201";"A"
"2020-07";"4003";"A"
"2020-06";"2920";"A"
"2020-05";"1650";"A"
"2020-04";"1011";"A"
"2020-03";"2256";"A"
"2020-02";"3548";"A"
"2020-01";"3501";"A"
"2019-12";"3382";"A"
"2019-11";"3495";"A"
"2019-10";"3554";"A"
"2019-09";"3365";"A"
"2019-08";"3228";"A"
"2019-07";"3133";"A"
"2019-06";"3193";"A"
"2019-05";"3052";"A"
"2019-04";"3162";"A"
"2019-03";"3252";"A"
"2019-02";"3142";"A"
"2019-01";"3128";"A"
"2018-12";"2983";"A"
"2018-11";"2880";"A"
"2018-10";"2911";"A"
"2018-09";"2785";"A"
"2018-08";"2845";"A"
"2018-07";"2832";"A"
"2018-06";"2902";"A"
"2018-05";"2998";"A"
"2018-04";"2675";"A"
"2018-03";"2705";"A"
"2018-02";"2784";"A"
"2018-01";"2652";"A"
"2017-12";"2690";"A"
"2017-11";"2701";"A"
"2017-10";"2569";"A"
"2017-09";"2624";"A"
"2017-08";"2564";"A"
"2017-07";"2755";"A"
"2017-06";"2564";"A"
"2017-05";"2497";"A"
"2017-04";"2554";"A"
"2017-03";"2588";"A"
"2017-02";"2496";"A"
"2017-01";"2617";"A"
"2016-12";"2706";"A"
"2016-11";"2641";"A"
"2016-10";"2579";"A"
"2016-09";"2584";"A"
"2016-08";"2609";"A"
"2016-07";"2450";"A"
