"Libellé";"Indice de chiffre d'affaires - Hébergement et restauration (NAF rév. 2, niv. section poste I)";"Codes"
"idBank";"010543405";""
"Dernière mise à jour";"29/10/2021 12:00";""
"Période";"";""
"2021-08";"199.62";"A"
"2021-07";"95.67";"A"
"2021-06";"118.6";"A"
"2021-05";"72.63";"A"
"2021-04";"48.46";"A"
"2021-03";"52.89";"A"
"2021-02";"47.68";"A"
"2021-01";"47.83";"A"
"2020-12";"56.98";"A"
"2020-11";"44.17";"A"
"2020-10";"94.85";"A"
"2020-09";"110.77";"A"
"2020-08";"177.35";"A"
"2020-07";"79.28";"A"
"2020-06";"88.15";"A"
"2020-05";"34.25";"A"
"2020-04";"21.79";"A"
"2020-03";"61.16";"A"
"2020-02";"112.84";"A"
"2020-01";"116.27";"A"
"2019-12";"124.51";"A"
"2019-11";"111.97";"A"
"2019-10";"127.85";"A"
"2019-09";"133.1";"A"
"2019-08";"196.78";"A"
"2019-07";"98.68";"A"
"2019-06";"139.6";"A"
"2019-05";"125.69";"A"
"2019-04";"122.56";"A"
"2019-03";"120.26";"A"
"2019-02";"108.73";"A"
"2019-01";"107.34";"A"
"2018-12";"118.13";"A"
"2018-11";"104.72";"A"
"2018-10";"120.61";"A"
"2018-09";"127.4";"A"
"2018-08";"182.94";"A"
"2018-07";"93.66";"A"
"2018-06";"128.33";"A"
"2018-05";"120.59";"A"
"2018-04";"114.92";"A"
"2018-03";"113.88";"A"
"2018-02";"99.16";"A"
"2018-01";"102.14";"A"
"2017-12";"111.95";"A"
"2017-11";"99.35";"A"
"2017-10";"112.71";"A"
"2017-09";"118.02";"A"
"2017-08";"170.44";"A"
"2017-07";"90.2";"A"
"2017-06";"118.9";"A"
"2017-05";"112.0";"A"
"2017-04";"109.19";"A"
"2017-03";"105.88";"A"
"2017-02";"94.61";"A"
"2017-01";"93.2";"A"
"2016-12";"105.89";"A"
"2016-11";"89.61";"A"
"2016-10";"105.14";"A"
"2016-09";"110.55";"A"
"2016-08";"156.97";"A"
"2016-07";"86.25";"A"
"2016-06";"112.92";"A"
"2016-05";"107.57";"A"
"2016-04";"102.53";"A"
"2016-03";"98.93";"A"
"2016-02";"91.27";"A"
"2016-01";"88.56";"A"
"2015-12";"100.67";"A"
"2015-11";"85.71";"A"
"2015-10";"101.81";"A"
"2015-09";"104.73";"A"
"2015-08";"149.6";"A"
"2015-07";"82.85";"A"
"2015-06";"109.51";"A"
"2015-05";"105.58";"A"
"2015-04";"98.02";"A"
"2015-03";"92.79";"A"
"2015-02";"83.98";"A"
"2015-01";"84.76";"A"
"2014-12";"95.73";"A"
"2014-11";"83.63";"A"
"2014-10";"99.12";"A"
"2014-09";"102.34";"A"
"2014-08";"143.71";"A"
"2014-07";"80.07";"A"
"2014-06";"104.27";"A"
"2014-05";"101.39";"A"
"2014-04";"93.84";"A"
"2014-03";"90.71";"A"
"2014-02";"80.33";"A"
"2014-01";"82.77";"A"
"2013-12";"93.96";"A"
"2013-11";"82.89";"A"
"2013-10";"95.93";"A"
"2013-09";"99.22";"A"
"2013-08";"139.33";"A"
"2013-07";"80.79";"A"
"2013-06";"104.12";"A"
"2013-05";"100.48";"A"
"2013-04";"91.06";"A"
"2013-03";"90.02";"A"
"2013-02";"78.46";"A"
"2013-01";"80.88";"A"
"2012-12";"90.85";"A"
"2012-11";"82.36";"A"
"2012-10";"93.31";"A"
"2012-09";"98.79";"A"
"2012-08";"133.92";"A"
"2012-07";"78.96";"A"
"2012-06";"102.79";"A"
"2012-05";"96.8";"A"
"2012-04";"88.73";"A"
"2012-03";"89.06";"A"
"2012-02";"77.65";"A"
"2012-01";"80.01";"A"
"2011-12";"90.08";"A"
"2011-11";"78.78";"A"
"2011-10";"91.62";"A"
"2011-09";"95.73";"A"
"2011-08";"127.72";"A"
"2011-07";"79.15";"A"
"2011-06";"98.96";"A"
"2011-05";"95.13";"A"
"2011-04";"88.15";"A"
"2011-03";"83.53";"A"
"2011-02";"75.5";"A"
"2011-01";"76.74";"A"
"2010-12";"83.04";"A"
"2010-11";"74.49";"A"
"2010-10";"87.19";"A"
"2010-09";"89.91";"A"
"2010-08";"120.58";"A"
"2010-07";"76.12";"A"
"2010-06";"91.98";"A"
"2010-05";"90.07";"A"
"2010-04";"82.35";"A"
"2010-03";"78.3";"A"
"2010-02";"70.05";"A"
"2010-01";"70.69";"A"
"2009-12";"79.33";"A"
"2009-11";"70.1";"A"
"2009-10";"83.02";"A"
"2009-09";"83.85";"A"
